VGR ordrsp verification result !!!
ORDRSP Copy back checked on 2014-12-01 at 2014-12-22_05-29-45
 
Integration Missing ordrsps Count - 5248
 
Database ordrsp count - 17029
 
Integration Missing ORDRSP ID/s list.
----------------------------------------------
ORDER ID | ORDRSP ID
 OR60763690|1115446
 OR60763691|614344
 OR60763692|6958622
 OR60763692|6972797
 OR60763692|6972951
 OR60763693|1115452
 OR60763694|6958623
 OR60763694|6972796
 OR60763695|1115462
 OR60763696|1115463
 OR60763697|614393
 OR60763700|1115481
 OR60763701|614390
 OR60763702|1115494
 OR60763704|1115495
 OR60763705|614422
 OR60763706|15831229
 OR60763707|1115506
 OR60763708|6960520
 OR60763708|6972856
 OR60763711|1115515
 OR60763712|1115522
 OR60763713|6961501
 OR60763713|6972864
 OR60763714|6961505
 OR60763714|6972850
 OR60763715|1115549
 OR60763723|6962593
 OR60763723|6972857
 OR60763724|6962594
 OR60763724|6972854
 OR60763725|1115590
 OR60763726|6963190
 OR60763726|6973456
 OR60763727|1115604
 OR60763728|1115614
 OR60763729|1115615
 OR60763731|1115640
 OR60763732|6964114
 OR60763732|6972836
 OR60763733|1115651
 OR60763734|1115677
 OR60763735|1115692
 OR60763736|1115698
 OR60763737|6965593
 OR60763737|6972851
 OR60763738|1115701
 OR60763740|614802
 OR60763741|1115710
 OR60763742|1115721
 OR60763743|1115722
 OR60763747|6966526
 OR60763747|6972800
 OR60763748|1115729
 OR60763749|6966527
 OR60763749|6972799
 OR60763750|6966922
 OR60763750|6972802
 OR60763751|6966923
 OR60763751|6972801
 OR60763756|1115742
 OR60763757|15832942
 OR60763759|1115750
 OR60763760|1115751
 OR60763762|1115764
 OR60763763|15833133
 OR60763764|614893
 OR60763765|1115768
 OR60763766|15833166
 OR60763767|1115776
 OR60763768|6973296
 OR60763768|6973463
 OR60763769|6973349
 OR60763769|6973462
 OR60763770|6973350
 OR60763770|6973464
 OR60763771|1115796
 OR60763772|1115808
 OR60763773|6974306
 OR60763773|6974453
 OR60763775|1115834
 OR60763776|6975405
 OR60763776|6975992
 OR60763777|1115839
 OR60763778|6975499
 OR60763778|6975907
 OR60763779|1115840
 OR60763780|6975915
 OR60763780|6977655
 OR60763783|1115867
 OR60763784|1115868
 OR60763785|1115882
 OR60763786|1115891
 OR60763787|615358
 OR60763788|1115892
 OR60763789|6977647
 OR60763790|6977649
 OR60763793|1115913
 OR60763794|6978781
 OR60763796|1115928
 OR60763797|1115929
 OR60763798|1115930
 OR60763799|15836027
 OR60763800|1115931
 OR60763804|6980441
 OR60763805|6980443
 OR60763811|1115979
 OR60763812|615587
 OR60763813|1115991
 OR60763814|1116000
 OR60763819|6982584
 OR60763820|1116018
 OR60763821|15837091
 OR60763822|1116020
 OR60763824|1116035
 OR60763826|1116036
 OR60763827|6983168
 OR60763835|1116079
 OR60763836|6985170
 OR60763837|1116089
 OR60763838|6985756
 OR60763842|1116110
 OR60763844|1116114
 OR60763845|6986680
 OR60763846|1116118
 OR60763848|1116119
 OR60763849|6987452
 OR60763850|1116120
 OR60763851|6987486
 OR60763852|6987485
 OR60763855|1116121
 OR60823372|601678
 OR60823425|603195
 OR60823481|605377
 OR60823585|607593
 OR60823599|607901
 OR60823634|608679
 OR60823641|608819
 OR60823666|1113600
 OR60823667|609718
 OR60823668|6883154
 OR60823668|6884692
 OR60823669|609716
 OR60823670|1113637
 OR60823671|15810924
 OR60823672|1113660
 OR60823673|6887290
 OR60823673|6903197
 OR60823674|1113790
 OR60823675|1113798
 OR60823676|1113804
 OR60823677|6890178
 OR60823677|6902893
 OR60823678|1113805
 OR60823681|610307
 OR60823682|6893325
 OR60823682|6903201
 OR60823683|1113915
 OR60823684|1113919
 OR60823685|610350
 OR60823686|610376
 OR60823688|610436
 OR60823689|1113981
 OR60823691|1114012
 OR60823692|610660
 OR60823693|610661
 OR60823694|610663
 OR60823695|610664
 OR60823696|610667
 OR60823697|610666
 OR60823698|1114071
 OR60823699|1114072
 OR60823700|610671
 OR60823701|1114086
 OR60823705|1114099
 OR60823706|1114103
 OR60823707|610743
 OR60823708|1114112
 OR60823709|610746
 OR60823710|1114113
 OR60823711|15815381
 OR60823712|610745
 OR60823713|610890
 OR60823714|1114137
 OR60823715|6907018
 OR60823715|6907302
 OR60823719|611047
 OR60823720|1114169
 OR60823721|611396
 OR60823723|611400
 OR60823724|6911710
 OR60823724|6914254
 OR60823726|1114269
 OR60823727|611401
 OR60823728|15817593
 OR60823729|611403
 OR60823732|6912763
 OR60823732|6928971
 OR60823733|1114300
